Reported number of people receiving ART,Estimated number of people living with HIV,Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region,id_pays,region_who,median,min,max,id_type_traitement,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max
,,,,,,,,Western Pacific,104,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,105,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,106,eastern mediterranean,95.0,88.0,95.0,2,670                                       ,560[500-770]                                                  ,                                                                 560 ,                                                              500 ,                                                              770 ,                                              95 ,                                           88 ,                                           95 
,,,,,,,,Africa,107,africa,60.0,45.0,81.0,2,86 900                                    ,140000[110000-190000]                                         ,                                                              140000 ,                                                           110000 ,                                                           190000 ,                                              60 ,                                           45 ,                                           81 
,,,,,,,,South-East Asia,108,south-east asia,80.0,69.0,93.0,2,7900                                      ,9800[8400-11000]                                              ,                                                                9800 ,                                                             8400 ,                                                            11000 ,                                              80 ,                                           69 ,                                           93 
,,,,,,,,Africa,109,africa,78.0,61.0,89.0,2,8600                                      ,11000[8700-13000]                                             ,                                                               11000 ,                                                             8700 ,                                                            13000 ,                                              78 ,                                           61 ,                                           89 
,,,,,,,,South-East Asia,110,south-east asia,91.0,80.0,95.0,2,1300                                      ,1400[1200-1600]                                               ,                                                                1400 ,                                                             1200 ,                                                             1600 ,                                              91 ,                                           80 ,                                           95 
,,,,,,,,Europe,111,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,112,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,113,americas,55.0,41.0,76.0,2,120                                       ,500[200-500]                                                  ,                                                                 500 ,                                                              200 ,                                                              500 ,                                              55 ,                                           41 ,                                           76 
,,,,,,,,Africa,114,africa,52.0,42.0,66.0,2,1300                                      ,2500[2100-3200]                                               ,                                                                2500 ,                                                             2100 ,                                                             3200 ,                                              52 ,                                           42 ,                                           66 
,,,,,,,,Africa,115,africa,35.0,22.0,53.0,2,50 200                                    ,140000[91000-220000]                                          ,                                                              140000 ,                                                            91000 ,                                                           220000 ,                                              35 ,                                           22 ,                                           53 
,,,,,,,,Europe,116,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,117,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,118,eastern mediterranean,11.0,10.0,13.0,2,610                                       ,5500[4700-6300]                                               ,                                                                5500 ,                                                             4700 ,                                                             6300 ,                                              11 ,                                           10 ,                                           13 
,,,,,,,,Americas,119,americas,76.0,69.0,84.0,2,200                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              76 ,                                           69 ,                                           84 
,,,,,,,,Western Pacific,120,western pacific,49.0,39.0,58.0,2,1400                                      ,2900[2300-3500]                                               ,                                                                2900 ,                                                             2300 ,                                                             3500 ,                                              49 ,                                           39 ,                                           58 
,,,,,,,,Americas,121,americas,43.0,28.0,68.0,2,170                                       ,500[500-640]                                                  ,                                                                 500 ,                                                              500 ,                                                              640 ,                                              43 ,                                           28 ,                                           68 
,,,,,,,,Americas,122,americas,48.0,34.0,70.0,2,740                                       ,1600[1100-2300]                                               ,                                                                1600 ,                                                             1100 ,                                                             2300 ,                                              48 ,                                           34 ,                                           70 
,,,,,,,,Western Pacific,123,western pacific,20.0,16.0,25.0,2,90                                        ,500[500-510]                                                  ,                                                                 500 ,                                                              500 ,                                                              510 ,                                              20 ,                                           16 ,                                           25 
,,,,,,,,Europe,124,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,125,europe,,,,2,No data                                   ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,126,eastern mediterranean,,,,2,0                                         ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,127,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,128,europe,40.0,30.0,55.0,2,130                                       ,500[500-500]                                                  ,                                                                 500 ,                                                              500 ,                                                              500 ,                                              40 ,                                           30 ,                                           55 
,,,,,,,,Europe,129,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,130,europe,95.0,95.0,95.0,2,170                                       ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                              95 ,                                           95 ,                                           95 
,,,,,,,,Europe,131,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,132,africa,63.0,47.0,80.0,2,7500                                      ,12000[8900-15000]                                             ,                                                               12000 ,                                                             8900 ,                                                            15000 ,                                              63 ,                                           47 ,                                           80 
,,,,,,,,Eastern Mediterranean,133,eastern mediterranean,,,,2,120                                       ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,134,africa,31.0,26.0,35.0,2,1400                                      ,4500[3700-5100]                                               ,                                                                4500 ,                                                             3700 ,                                                             5100 ,                                              31 ,                                           26 ,                                           35 
,,,,,,,,Europe,135,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,136,africa,17.0,13.0,22.0,2,1100                                      ,6600[5100-8500]                                               ,                                                                6600 ,                                                             5100 ,                                                             8500 ,                                              17 ,                                           13 ,                                           22 
,,,,,,,,Western Pacific,137,western pacific,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,138,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,139,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,140,eastern mediterranean,14.0,12.0,19.0,2,190                                       ,1300[1100-1800]                                               ,                                                                1300 ,                                                             1100 ,                                                             1800 ,                                              14 ,                                           12 ,                                           19 
,,,,,,,,Africa,141,africa,63.0,49.0,87.0,2,163 000                                   ,260000[200000-360000]                                         ,                                                              260000 ,                                                           200000 ,                                                           360000 ,                                              63 ,                                           49 ,                                           87 
,,,,,,,,Africa,142,africa,9.0,7.0,12.0,2,1500                                      ,16000[12000-21000]                                            ,                                                               16000 ,                                                            12000 ,                                                            21000 ,                                               9 ,                                            7 ,                                           12 
,,,,,,,,Europe,143,europe,,,,2,No data                                   ,100[100-200]                                                  ,                                                                 100 ,                                                              100 ,                                                              200 ,                                                 ,                                              ,                                              
,,,,,,,,South-East Asia,144,south-east asia,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,145,eastern mediterranean,15.0,8.0,23.0,2,620                                       ,4200[2400-6800]                                               ,                                                                4200 ,                                                             2400 ,                                                             6800 ,                                              15 ,                                            8 ,                                           23 
,,,,,,,,Americas,146,americas,72.0,45.0,95.0,2,50                                        ,100[100-100]                                                  ,                                                                 100 ,                                                              100 ,                                                              100 ,                                              72 ,                                           45 ,                                           95 
,,,,,,,,Europe,147,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,148,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,149,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,150,europe,95.0,95.0,95.0,2,750                                       ,540[500-630]                                                  ,                                                                 540 ,                                                              500 ,                                                              630 ,                                              95 ,                                           95 ,                                           95 
,,,,,,,,South-East Asia,151,south-east asia,83.0,68.0,95.0,2,2600                                      ,3200[2600-3800]                                               ,                                                                3200 ,                                                             2600 ,                                                             3800 ,                                              83 ,                                           68 ,                                           95 
,,,,,,,,South-East Asia,152,south-east asia,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,153,africa,34.0,29.0,38.0,2,4200                                      ,12000[11000-14000]                                            ,                                                               12000 ,                                                            11000 ,                                                            14000 ,                                              34 ,                                           29 ,                                           38 
,,,,,,,,Americas,154,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Eastern Mediterranean,155,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,156,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,157,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,158,africa,66.0,57.0,74.0,2,67 100                                    ,100000[88000-110000]                                          ,                                                              100000 ,                                                            88000 ,                                                           110000 ,                                              66 ,                                           57 ,                                           74 
,,,,,,,,Europe,159,europe,95.0,84.0,95.0,2,820                                       ,850[750-980]                                                  ,                                                                 850 ,                                                              750 ,                                                              980 ,                                              95 ,                                           84 ,                                           95 
,,,,,,,,Eastern Mediterranean,160,eastern mediterranean,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Europe,161,europe,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Africa,162,africa,65.0,51.0,80.0,2,59 600                                    ,92000[72000-110000]                                           ,                                                               92000 ,                                                            72000 ,                                                           110000 ,                                              65 ,                                           51 ,                                           80 
,,,,,,,,Americas,163,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Americas,164,americas,64.0,47.0,90.0,2,80                                        ,200[100-200]                                                  ,                                                                 200 ,                                                              100 ,                                                              200 ,                                              64 ,                                           47 ,                                           90 
,,,,,,,,Europe,165,europe,93.0,87.0,95.0,2,5500                                      ,6000[5600-6300]                                               ,                                                                6000 ,                                                             5600 ,                                                             6300 ,                                              93 ,                                           87 ,                                           95 
,,,,,,,,Americas,166,americas,,,,2,No data                                   ,Nodata                                                        ,                                                                     ,                                                                  ,                                                                  ,                                                 ,                                              ,                                              
,,,,,,,,Western Pacific,167,western pacific,92.0,74.0,95.0,2,4600                                      ,5000[4000-5900]                                               ,                                                                5000 ,                                                             4000 ,                                                             5900 ,                                              92 ,                                           74 ,                                           95 
,,,,,,,,Eastern Mediterranean,168,eastern mediterranean,33.0,24.0,50.0,2,130                                       ,500[500-580]                                                  ,                                                                 500 ,                                                              500 ,                                                              580 ,                                              33 ,                                           24 ,                                           50 
,,,,,,,,Africa,169,africa,79.0,65.0,93.0,2,49 100                                    ,62000[52000-74000]                                            ,                                                               62000 ,                                                            52000 ,                                                            74000 ,                                              79 ,                                           65 ,                                           93 
,,,,,,,,Africa,170,africa,76.0,59.0,93.0,2,63 900                                    ,84000[65000-100000]                                           ,                                                               84000 ,                                                            65000 ,                                                           100000 ,                                              76 ,                                           59 ,                                           93 
