Reported number of people receiving ART,Estimated number of people living with HIV,Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region,id_pays,region_who,median,min,max,id_type_traitement,Reported number of children receiving ART,Estimated number of children needing ART based on WHO methods,Estimated number of children needing ART based on WHO methods_median,Estimated number of children needing ART based on WHO methods_min,Estimated number of children needing ART based on WHO methods_max,Estimated ART coverage among children (%)_median,Estimated ART coverage among children (%)_min,Estimated ART coverage among children (%)_max
19800                                   ,36000[30000–43000]                         ,                                            36000 ,                                         30000 ,                                         43000 ,                                                            54 ,                                                         45 ,                                                         65 ,Africa,114,africa,54.0,45.0,65.0,1,,,,,,,,
1016000                                 ,1900000[1400000–2600000]                   ,                                          1900000 ,                                       1400000 ,                                       2600000 ,                                                            53 ,                                                         40 ,                                                         71 ,Africa,115,africa,53.0,40.0,71.0,1,,,,,,,,
4700                                    ,5800[5200–6300]                            ,                                             5800 ,                                          5200 ,                                          6300 ,                                                            82 ,                                                         74 ,                                                         90 ,Europe,116,europe,82.0,74.0,90.0,1,,,,,,,,
1300                                    ,3200[2900–3600]                            ,                                             3200 ,                                          2900 ,                                          3600 ,                                                            41 ,                                                         37 ,                                                         45 ,Eastern Mediterranean,117,eastern mediterranean,41.0,37.0,45.0,1,,,,,,,,
15800                                   ,160000[140000–190000]                      ,                                           160000 ,                                        140000 ,                                        190000 ,                                                            10 ,                                                          9 ,                                                         11 ,Eastern Mediterranean,118,eastern mediterranean,10.0,9.0,11.0,1,,,,,,,,
14200                                   ,26000[24000–29000]                         ,                                            26000 ,                                         24000 ,                                         29000 ,                                                            54 ,                                                         48 ,                                                         59 ,Americas,119,americas,54.0,48.0,59.0,1,,,,,,,,
29400                                   ,45000[41000–50000]                         ,                                            45000 ,                                         41000 ,                                         50000 ,                                                            65 ,                                                         58 ,                                                         71 ,Western Pacific,120,western pacific,65.0,58.0,71.0,1,,,,,,,,
8500                                    ,21000[16000–31000]                         ,                                            21000 ,                                         16000 ,                                         31000 ,                                                            40 ,                                                         31 ,                                                         58 ,Americas,121,americas,40.0,31.0,58.0,1,,,,,,,,
57800                                   ,79000[58000–110000]                        ,                                            79000 ,                                         58000 ,                                        110000 ,                                                            73 ,                                                         54 ,                                                         95 ,Americas,122,americas,73.0,54.0,95.0,1,,,,,,,,
33600                                   ,77000[65000–90000]                         ,                                            77000 ,                                         65000 ,                                         90000 ,                                                            44 ,                                                         37 ,                                                         51 ,Western Pacific,123,western pacific,44.0,37.0,51.0,1,,,,,,,,
