id;id_pays;pays;annee;valeur;type_valeur;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source
1948;78;Israel;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1778;78;Israel;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2119;79;Italy;2000;1200.0;count;1000.0;1500.0;1200.0;good;no_of_deaths_by_country_clean.csv
1949;79;Italy;2010;830.0;count;620.0;1100.0;830.0;good;no_of_deaths_by_country_clean.csv
1779;79;Italy;2018;710.0;count;510.0;930.0;710.0;good;no_of_deaths_by_country_clean.csv
2120;80;Jamaica;2000;2400.0;count;1900.0;3100.0;2400.0;good;no_of_deaths_by_country_clean.csv
1950;80;Jamaica;2010;1800.0;count;1500.0;2100.0;1800.0;good;no_of_deaths_by_country_clean.csv
1780;80;Jamaica;2018;1500.0;count;1300.0;1800.0;1500.0;good;no_of_deaths_by_country_clean.csv
2121;81;Japan;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1951;81;Japan;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1781;81;Japan;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2122;82;Jordan;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1952;82;Jordan;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1782;82;Jordan;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2123;83;Kazakhstan;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1953;83;Kazakhstan;2010;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1783;83;Kazakhstan;2018;500.0;count;500.0;530.0;500.0;good;no_of_deaths_by_country_clean.csv
2124;84;Kenya;2000;120000.0;count;88000.0;190000.0;120000.0;good;no_of_deaths_by_country_clean.csv
1954;84;Kenya;2010;56000.0;count;41000.0;86000.0;56000.0;good;no_of_deaths_by_country_clean.csv
1784;84;Kenya;2018;25000.0;count;18000.0;38000.0;25000.0;good;no_of_deaths_by_country_clean.csv
2125;85;Kuwait;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1955;85;Kuwait;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1785;85;Kuwait;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2126;86;Kyrgyzstan;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1956;86;Kyrgyzstan;2010;200.0;count;100.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1786;86;Kyrgyzstan;2018;200.0;count;200.0;500.0;200.0;good;no_of_deaths_by_country_clean.csv
2127;87;Laos;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1957;87;Laos;2010;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
1787;87;Laos;2018;500.0;count;500.0;500.0;500.0;good;no_of_deaths_by_country_clean.csv
2128;88;Latvia;2000;100.0;count;100.0;200.0;100.0;good;no_of_deaths_by_country_clean.csv
1958;88;Latvia;2010;200.0;count;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
1788;88;Latvia;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2129;89;Lebanon;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1959;89;Lebanon;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1789;89;Lebanon;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2130;90;Lesotho;2000;12000.0;count;9000.0;16000.0;12000.0;good;no_of_deaths_by_country_clean.csv
1960;90;Lesotho;2010;7200.0;count;5600.0;10000.0;7200.0;good;no_of_deaths_by_country_clean.csv
1790;90;Lesotho;2018;6100.0;count;5000.0;7600.0;6100.0;good;no_of_deaths_by_country_clean.csv
2131;91;Liberia;2000;3000.0;count;2600.0;3400.0;3000.0;good;no_of_deaths_by_country_clean.csv
1961;91;Liberia;2010;2700.0;count;2600.0;2900.0;2700.0;good;no_of_deaths_by_country_clean.csv
1791;91;Liberia;2018;1800.0;count;1700.0;1900.0;1800.0;good;no_of_deaths_by_country_clean.csv
2132;92;Libya;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1962;92;Libya;2010;100.0;count;100.0;200.0;100.0;good;no_of_deaths_by_country_clean.csv
1792;92;Libya;2018;200.0;count;200.0;200.0;200.0;good;no_of_deaths_by_country_clean.csv
2133;93;Lithuania;2000;;count;;;;good;no_of_deaths_by_country_clean.csv
1963;93;Lithuania;2010;;count;;;;good;no_of_deaths_by_country_clean.csv
1793;93;Lithuania;2018;;count;;;;good;no_of_deaths_by_country_clean.csv
2134;94;Luxembourg;2000;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1964;94;Luxembourg;2010;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
1794;94;Luxembourg;2018;100.0;count;100.0;100.0;100.0;good;no_of_deaths_by_country_clean.csv
2135;95;Madagascar;2000;500.0;count;200.0;930.0;500.0;good;no_of_deaths_by_country_clean.csv
