id;id_pays;pays;region;id_type_statistique;type_statistique;annee;valeur;type_valeur;valeur_texte;confiance_min;confiance_max;confiance_median;qualite_donnees;fichier_source;date_creation
8;3;Algeria;Africa;1;Prevention of Mother-to-Child Transmission;2023;500.0;needing_antiretrovirals;;500.0;500.0;500.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
9;3;Algeria;Africa;1;Prevention of Mother-to-Child Transmission;2023;74.0;percentage_received;;69.0;78.0;74.0;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
7;3;Algeria;Africa;1;Prevention of Mother-to-Child Transmission;2023;320.0;received_antiretrovirals;;;;;good;prevention_of_mother_to_child_transmission_by_country_clean.csv;2025-06-30 12:28:07
522;4;Angola;Africa;2;ART Coverage;2023;27.0;estimated_art_coverage_percent;;23.0;31.0;27.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
521;4;Angola;Africa;2;ART Coverage;2023;330000.0;estimated_living_with_hiv;;290000.0;390000.0;330000.0;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
520;4;Angola;Africa;2;ART Coverage;2023;88700.0;reported_receiving_art;;;;;good;art_coverage_by_country_clean.csv;2025-06-30 12:28:07
2902;4;Angola;Africa;6;ART Pediatric Coverage;2023;13.0;estimated_children_art_coverage_percent;;10.0;16.0;13.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2901;4;Angola;Africa;6;ART Pediatric Coverage;2023;38000.0;estimated_children_needing_art;;30000.0;47000.0;38000.0;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2900;4;Angola;Africa;6;ART Pediatric Coverage;2023;4800.0;reported_children_receiving_art;;;;;good;art_pediatric_coverage_by_country_clean.csv;2025-06-30 12:28:07
2724;4;Angola;Africa;5;HIV Cases Adults 15-49;2000;1.0;count;;0.8;1.2;1.0;good;no_of_cases_adults_15_to_49_by_country_clean.csv;2025-06-30 12:28:07
