id_pays ,population_hiv_median ,population_hiv_min ,population_hiv_max ,couverture_median ,couverture_min ,couverture_max ,id_type_traitement
    144 ,                 3500 ,              3100 ,              4000 ,               45 ,            40 ,            52 ,                 1
    145 ,                59000 ,             26000 ,            110000 ,               15 ,             7 ,            28 ,                 1
    146 ,                 5600 ,              3700 ,              8100 ,               52 ,            35 ,            75 ,                 1
    149 ,                  660 ,               590 ,               720 ,               20 ,            18 ,            22 ,                 1
    150 ,                13000 ,             11000 ,             16000 ,               46 ,            38 ,            56 ,                 1
    151 ,               480000 ,            420000 ,            550000 ,               75 ,            66 ,            86 ,                 1
    153 ,               110000 ,            100000 ,            120000 ,               60 ,            56 ,            65 ,                 1
    155 ,                 2800 ,              1700 ,              4400 ,               39 ,            24 ,            61 ,                 1
    158 ,              1400000 ,           1300000 ,           1500000 ,               72 ,            68 ,            78 ,                 1
    159 ,               240000 ,            220000 ,            260000 ,               52 ,            48 ,            56 ,                 1
    162 ,              1600000 ,           1400000 ,           1700000 ,               71 ,            64 ,            78 ,                 1
    164 ,                14000 ,              9900 ,             19000 ,               58 ,            41 ,            76 ,                 1
    165 ,                52000 ,             48000 ,             56000 ,               51 ,            47 ,            55 ,                 1
    167 ,               230000 ,            200000 ,            260000 ,               65 ,            57 ,            73 ,                 1
    168 ,                11000 ,              6500 ,             18000 ,               21 ,            12 ,            35 ,                 1
    169 ,              1200000 ,           1100000 ,           1400000 ,               78 ,            69 ,            88 ,                 1
    170 ,              1300000 ,           1100000 ,           1500000 ,               88 ,            77 ,            95 ,                 1
      1 ,                  500 ,               500 ,               530 ,               17 ,            10 ,            26 ,                 2
      3 ,                  500 ,               500 ,               520 ,               95 ,            95 ,            95 ,                 2
      4 ,                38000 ,             30000 ,             47000 ,               13 ,            10 ,            16 ,                 2
      5 ,                 1800 ,              1600 ,              2100 ,               92 ,            84 ,            95 ,                 2
     10 ,                  200 ,               200 ,               500 ,               21 ,            18 ,            26 ,                 2
     12 ,                  500 ,               500 ,               500 ,               33 ,            28 ,            38 ,                 2
     14 ,                  500 ,               200 ,               500 ,               88 ,            64 ,            95 ,                 2
     16 ,                  200 ,               200 ,               200 ,               34 ,            31 ,            38 ,                 2
     17 ,                 4600 ,              2800 ,              8000 ,               44 ,            27 ,            77 ,                 2
     19 ,                  620 ,               560 ,               670 ,               40 ,            37 ,            43 ,                 2
     21 ,                14000 ,             10000 ,             17000 ,               38 ,            28 ,            46 ,                 2
     25 ,                 9100 ,              6300 ,             12000 ,               21 ,            15 ,            29 ,                 2
     26 ,                11000 ,              8000 ,             14000 ,               30 ,            22 ,            38 ,                 2
     28 ,                 3300 ,              2800 ,              3900 ,               92 ,            78 ,            95 ,                 2
     29 ,                43000 ,             33000 ,             51000 ,               24 ,            18 ,            28 ,                 2
     31 ,                11000 ,              8200 ,             14000 ,               23 ,            18 ,            29 ,                 2
     32 ,                16000 ,             11000 ,             21000 ,               16 ,            11 ,            22 ,                 2
     33 ,                  500 ,               500 ,               500 ,               56 ,            50 ,            61 ,                 2
     35 ,                 3600 ,              2900 ,              4300 ,               41 ,            32 ,            49 ,                 2
     37 ,                 7700 ,              5800 ,             10000 ,               25 ,            19 ,            33 ,                 2
     39 ,                31000 ,             23000 ,             41000 ,               40 ,            29 ,            54 ,                 2
     41 ,                  100 ,               100 ,               200 ,               34 ,            23 ,            46 ,                 2
     45 ,                64000 ,             50000 ,             76000 ,               25 ,            20 ,            30 ,                 2
     47 ,                  810 ,               640 ,              1000 ,               10 ,             8 ,            13 ,                 2
     48 ,                 1400 ,              1000 ,              1900 ,               55 ,            39 ,            74 ,                 2
     49 ,                  660 ,               500 ,              1200 ,               82 ,            54 ,            95 ,                 2
     50 ,                  500 ,               500 ,               500 ,               39 ,            36 ,            42 ,                 2
     51 ,                  610 ,               500 ,               740 ,               24 ,            19 ,            30 ,                 2
     52 ,                 5300 ,              3800 ,              7100 ,               14 ,            10 ,            19 ,                 2
     53 ,                 1300 ,               930 ,              2000 ,               37 ,            26 ,            55 ,                 2
     55 ,                11000 ,              9400 ,             13000 ,               76 ,            63 ,            88 ,                 2
     56 ,                36000 ,             23000 ,             55000 ,               59 ,            38 ,            90 ,                 2
     60 ,                 3200 ,              2300 ,              4400 ,               57 ,            41 ,            78 ,                 2
     61 ,                 1900 ,              1400 ,              2500 ,               30 ,            23 ,            39 ,                 2
     64 ,                30000 ,             23000 ,             37000 ,               20 ,            15 ,            25 ,                 2
     66 ,                 2000 ,              1800 ,              2200 ,               36 ,            33 ,            39 ,                 2
     67 ,                10000 ,              7900 ,             13000 ,               20 ,            15 ,            25 ,                 2
     68 ,                 5700 ,              4700 ,              6600 ,                6 ,             5 ,             7 ,                 2
     69 ,                  500 ,               500 ,               500 ,               38 ,            31 ,            44 ,                 2
     70 ,                 8700 ,              7000 ,              9900 ,               40 ,            32 ,            45 ,                 2
     71 ,                  890 ,               710 ,              1100 ,               41 ,            33 ,            49 ,                 2
     75 ,                18000 ,             15000 ,             20000 ,               22 ,            19 ,            26 ,                 2
     76 ,                  880 ,               580 ,              1600 ,               58 ,            39 ,            95 ,                 2
     80 ,                  500 ,               500 ,               500 ,               51 ,            46 ,            57 ,                 2
     83 ,                  500 ,               500 ,               500 ,               95 ,            95 ,            95 ,                 2
     84 ,               120000 ,             95000 ,            160000 ,               61 ,            47 ,            78 ,                 2
     86 ,                  500 ,               500 ,               500 ,               95 ,            95 ,            95 ,                 2
     87 ,                  700 ,               620 ,               820 ,               40 ,            35 ,            46 ,                 2
     90 ,                12000 ,              9500 ,             14000 ,               70 ,            55 ,            81 ,                 2
